Date,Status,TT
14-Mar-20,Confirmed,81
14-Mar-20,Recovered,9
14-Mar-20,Deceased,2
15-Mar-20,Confirmed,27
15-Mar-20,Recovered,4
15-Mar-20,Deceased,0
16-Mar-20,Confirmed,15
16-Mar-20,Recovered,1
16-Mar-20,Deceased,0
17-Mar-20,Confirmed,11
17-Mar-20,Recovered,1
17-Mar-20,Deceased,1
18-Mar-20,Confirmed,37
18-Mar-20,Recovered,0
18-Mar-20,Deceased,0
19-Mar-20,Confirmed,27
19-Mar-20,Recovered,5
19-Mar-20,Deceased,1
20-Mar-20,Confirmed,58
20-Mar-20,Recovered,3
20-Mar-20,Deceased,0
21-Mar-20,Confirmed,78
21-Mar-20,Recovered,0
21-Mar-20,Deceased,0
22-Mar-20,Confirmed,67
22-Mar-20,Recovered,0
22-Mar-20,Deceased,3
23-Mar-20,Confirmed,102
23-Mar-20,Recovered,12
23-Mar-20,Deceased,2
24-Mar-20,Confirmed,64
24-Mar-20,Recovered,5
24-Mar-20,Deceased,1
25-Mar-20,Confirmed,90
25-Mar-20,Recovered,3
25-Mar-20,Deceased,1
26-Mar-20,Confirmed,65
26-Mar-20,Recovered,7
26-Mar-20,Deceased,5
27-Mar-20,Confirmed,164
27-Mar-20,Recovered,26
27-Mar-20,Deceased,3
28-Mar-20,Confirmed,143
28-Mar-20,Recovered,9
28-Mar-20,Deceased,5
29-Mar-20,Confirmed,110
29-Mar-20,Recovered,5
29-Mar-20,Deceased,3
30-Mar-20,Confirmed,187
30-Mar-20,Recovered,49
30-Mar-20,Deceased,13
31-Mar-20,Confirmed,309
31-Mar-20,Recovered,15
31-Mar-20,Deceased,6
01-Apr-20,Confirmed,424
01-Apr-20,Recovered,16
01-Apr-20,Deceased,9
02-Apr-20,Confirmed,486
02-Apr-20,Recovered,22
02-Apr-20,Deceased,14
03-Apr-20,Confirmed,560
03-Apr-20,Recovered,38
03-Apr-20,Deceased,14
04-Apr-20,Confirmed,579
04-Apr-20,Recovered,56
04-Apr-20,Deceased,13
05-Apr-20,Confirmed,609
05-Apr-20,Recovered,43
05-Apr-20,Deceased,22
06-Apr-20,Confirmed,484
06-Apr-20,Recovered,65
06-Apr-20,Deceased,16
07-Apr-20,Confirmed,572
07-Apr-20,Recovered,75
07-Apr-20,Deceased,27
08-Apr-20,Confirmed,565
08-Apr-20,Recovered,96
08-Apr-20,Deceased,20
09-Apr-20,Confirmed,813
