Age Bracket,Gender,age_bucket
,,
,,
,,
28.0,M,21-30
,,
,,
,,
,,
,,
15.0,F,11-20
55.0,F,51-60
22.0,F,21-30
23.0,F,21-30
29.0,F,21-30
27.0,M,21-30
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
16.0,F,11-20
16.0,F,11-20
17.0,F,11-20
18.0,F,11-20
24.0,F,21-30
35.0,F,31-40
40.0,F,31-40
19.0,M,11-20
19.0,M,11-20
30.0,M,21-30
35.0,M,31-40
40.0,M,31-40
13.0,M,11-20
50.0,M,41-50
45.0,M,41-50
80.0,F,71-80
32.0,F,31-40
21.0,F,21-30
45.0,M,41-50
27.0,M,21-30
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
16.0,M,11-20
45.0,M,41-50
10.0,M,0-10
7.0,M,0-10
22.0,F,21-30
45.0,M,41-50
36.0,F,31-40
35.0,F,31-40
7.0,F,0-10
27.0,F,21-30
34.0,M,31-40
30.0,M,21-30
32.0,M,31-40
65.0,F,61-70
38.0,M,31-40
24.0,M,21-30
7.0,F,0-10
2.0,M,0-10
46.0,M,41-50
40.0,M,31-40
28.0,M,21-30
50.0,F,41-50
20.0,M,11-20
20.0,M,11-20
18.0,M,11-20
20.0,M,11-20
16.0,M,11-20
31.0,F,31-40
65.0,M,61-70
8.0,M,0-10
27.0,F,21-30
22.0,M,21-30
32.0,M,31-40
62.0,F,61-70
24.0,F,21-30
39.0,M,31-40
28.0,F,21-30
23.0,M,21-30
36.0,M,31-40
25.0,M,21-30
63.0,F,61-70
34.0,M,31-40
40.0,M,31-40
43.0,M,41-50
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
22.0,F,21-30
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
55.0,M,51-60
30.0,F,21-30
24.0,F,21-30
38.0,M,31-40
,,
32.0,M,31-40
41.0,M,41-50
36.0,M,31-40
25.0,M,21-30
54.0,F,51-60
39.0,M,31-40
46.0,M,41-50
19.0,M,11-20
38.0,F,31-40
21.0,F,21-30
30.0,M,21-30
42.0,F,41-50
65.0,F,61-70
30.0,F,21-30
63.0,F,61-70
25.0,M,21-30
42.0,M,41-50
58.0,F,51-60
46.0,M,41-50
45.0,M,41-50
38.0,M,31-40
28.0,M,21-30
24.0,F,21-30
38.0,M,31-40
41.0,M,41-50
29.0,F,21-30
48.0,F,41-50
46.0,M,41-50
44.0,F,41-50
25.0,M,21-30
21.0,M,21-30
38.0,M,31-40
65.0,M,61-70
25.0,F,21-30
37.0,F,31-40
13.0,M,11-20
21.0,M,21-30
43.0,F,41-50
65.0,F,61-70
26.0,M,21-30
21.0,M,21-30
